x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LOCAL_DATE_dt,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.18,2000-02-18 00:00:00,2000-02-18,NL,2000,2,18,-9.5,-11.7,-7.2,0.0,0.0,0.0,0.0,0.0,27.5
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.19,2000-02-19 00:00:00,2000-02-19,NL,2000,2,19,-8.4,-11.3,-5.5,3.2,0.0,3.2,0.0,0.0,26.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.20,2000-02-20 00:00:00,2000-02-20,NL,2000,2,20,-5.8,-7.0,-4.5,7.6,0.0,8.0,2.0,0.0,23.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.21,2000-02-21 00:00:00,2000-02-21,NL,2000,2,21,-3.8,-7.3,-0.3,1.8,0.0,2.4,12.0,0.0,21.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.22,2000-02-22 00:00:00,2000-02-22,NL,2000,2,22,-9.1,-12.8,-5.4,0.0,0.0,0.0,10.0,0.0,27.1
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.23,2000-02-23 00:00:00,2000-02-23,NL,2000,2,23,-6.5,-11.6,-1.3,0.0,0.0,0.0,8.0,0.0,24.5
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.24,2000-02-24 00:00:00,2000-02-24,NL,2000,2,24,0.2,-2.1,2.4,2.2,0.0,2.4,7.0,0.0,17.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.25,2000-02-25 00:00:00,2000-02-25,NL,2000,2,25,-4.3,-7.2,-1.4,0.0,0.0,0.0,0.0,0.0,22.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.26,2000-02-26 00:00:00,2000-02-26,NL,2000,2,26,-5.0,-9.8,-0.1,0.0,0.0,0.0,0.0,0.0,23.0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.27,2000-02-27 00:00:00,2000-02-27,NL,2000,2,27,0.3,-4.3,4.8,0.0,0.0,0.0,0.0,0.0,17.7
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.28,2000-02-28 00:00:00,2000-02-28,NL,2000,2,28,4.7,2.3,7.0,0.0,0.0,0.0,0.0,0.0,13.3
